Auteur,nb_comments,nb_likes,texte,date,nb_partages,taux d'engagement
President Paul Biya,10 ,184.0,"🇨🇲🇳🇬
Decree to ratify the cooperation agreement between the Government of the Republic of Cameroon and the Government of the Federal Republic of Nigeria on the non-proliferation of small arms and light weapons, signed on 6 February 2018 in Abuja.
#PaulBiya
#Cameroon",6 août,42 ,
President Paul Biya,4 ,144.0,"🇨🇲🇯🇲 La célébration de la fête nationale de la Jamaïque, m""offre l""heureuse occasion d’adresser mes vives et chaleureuses félicitations au Gouverneur Général, S.E. Sir Patrick Allen.",6 août,23 ,
President Paul Biya,1 ,80.0,"🇨🇲🇯🇲
Progress and prosperity to the Governor-General of Jamaica, Most Honourable Sir Patrick Allen and all Jamaicans on the occasion of their Independence Day celebration.
#PaulBiya
#Cameroon",6 août,16 ,
President Paul Biya,11 ,100.0,"🇨🇲🇲🇰
I would like to address my warmest congratulations to President Gjorge Ivanov and the people of the Republic of Macedonia on the occasion of the Republic Day anniversary.
#PaulBiya
#Cameroon",2 août,22 ,
President Paul Biya,9 ,91.0,"🇨🇲🇨🇭
Happy National Day to His Excellency Alain Berset and the people of the Swiss Confederation.
#PaulBiya
#Cameroon",1 août,17 ,
President Paul Biya,4 ,78.0,"🇨🇲🇧🇯
Peace and prosperity to President Patrice Talon and the people of the Republic of Benin as they celebrate the 58th anniversary of their independence day.
#PaulBiya
#Cameroon",1 août,21 ,
President Paul Biya,14 ,229.0,Décret portant nomination de responsables au Secrétariat Général du Conseil Constitutionnel.,31 juillet,67 ,
President Paul Biya,12 ,100.0,"Decree appointing officials at the Secretariat General of the Constitutional Council.
#PaulBiya
#Cameroon",31 juillet,24 ,
President Paul Biya,98 ,258.0,"🇨🇲🇬🇷 J’adresse mes sincères condoléances à S.E. Prokopios Pavlopoulos, suite au bilan humain très élevé, ainsi que des immenses dégâts matériels causés par de violents incendies, qui ravagent #Athènes et sa périphérie.",30 juillet,71 ,
President Paul Biya,9 ,158.0,"🇨🇲🇲🇦 J’ai le réel plaisir, d’adresser mes vives et chaleureuses félicitations à Son Altesse Royale Mohammed VI, à l""occasion de la célébration de la fête nationale du Royaume du #Maroc.",30 juillet,27 ,
President Paul Biya,8 ,117.0,"🇨🇲🇲🇦
Happy Throne Day to King Mohammed VI and the people of Morocco.
#PaulBiya
#Cameroon",30 juillet,19 ,
President Paul Biya,7 ,108.0,"🇨🇲🇵🇪 La commémoration de la fête nationale de la République du #Pérou, le 28 juillet, m""offre l""heureuse occasion d’adresser mes vives et chaleureuses félicitations à S.E. Martin Vizcarra.",26 juillet,10 ,
President Paul Biya,7 ,175.0,"🇨🇲🇱🇷 Il me plaît d’adresser mes vives et chaleureuses félicitations à S.E. George Weah, à l""occasion de la célébration de la fête nationale de la République du #Liberia. J’y associe mes souhaits de paix et de bienêtre pour la nation libérienne.",26 juillet,32 ,
President Paul Biya,17 ,127.0,"🇨🇲🇱🇷
It gives me great pleasure to convey my sincere felicitations to President George Weah and the people of Liberia on the happy occasion of their Independence Day celebration.
#PaulBiya
#Cameroon",26 juillet,10 ,
President Paul Biya,15 ,148.0,"Message de condoléances du Président #PaulBiya à S.E. #MackySall, suite au décès de S.E. Vincent Badji, Ambassadeur du #Sénégal au #Cameroun arrivé en fin de séjour, survenu le 22 juillet 2018 à #Yaoundé.",24 juillet,10 ,
President Paul Biya,36 ,251.0,"🇨🇲️🇸🇳 J’ai appris avec une réelle émotion, le décès de S.E. Vincent Badji, Ambassadeur du #Sénégal au #Cameroun arrivé en fin de séjour, survenu le 22 juillet 2018 à #Yaoundé. Je tiens en cette douloureuse circonstance, à adresser mes sincères condoléances à S.E. Macky Sall.",24 juillet,57 ,
President Paul Biya,10 ,150.0,"Monsieur NGOME AJEBESONE Francis Emmanuel est, à compter du 24 juillet 2018, nommé Directeur Général Adjoint de l’Institut de Recherche Agricole pour le Développement (IRAD).
#PaulBiya
#Cameroun",24 juillet,61 ,
President Paul Biya,18 ,233.0,"Messieurs EKO’O AKOUAFANE Jean-Claude et ENANG James ENANG sont, à compter du 24 juillet 2018, nommés respectivement Directeur Général et Directeur Général Adjoint de la Société de Développement du Cacao (SODECAO).
#PaulBiya
#Cameroun",24 juillet,92 ,
President Paul Biya,4 ,126.0,"Monsieur NGBA Zacharie est, à compter du 24 juillet 2018, nommé Président du Conseil d’Administration de la Société de Développement du Cacao (SODECAO).
#PaulBiya
#Cameroun",24 juillet,41 ,
President Paul Biya,3 ,119.0,"Monsieur NNANGA NGA est, à compter du 24 juillet 2018, nommé Président du Conseil d’Administration de l’Institut de Recherche Agricole pour le Développement (IRAD).
#PaulBiya
#Cameroun",24 juillet,40 ,
President Paul Biya,6 ,61.0,"The following have been appointed to the Cocoa Development Corporation (SODECAO):
- Mr Eko’o Akouafane Jean-Claude – General Manager;
- Mr Enang James Enang – Assistant General Manager.
#PaulBiya
#Cameroon",24 juillet,17 ,
President Paul Biya,6 ,29.0,"Mr Ngba Zacharie has been appointed as Chairperson of the Board of Directors at the Cocoa Development Corporation (SODECAO).
#PaulBiya
#Cameroon",24 juillet,8 ,
President Paul Biya,1 ,23.0,"Mr Ngome Ajebesone Francis Emmanuel has been appointed as Assistant General Manager of the Institute of Agricultural Research for Development (IRAD).
#PaulBiya
#Cameroon",24 juillet,8 ,
President Paul Biya,1 ,31.0,"Mr Nnanga Nga is the new Board Chairman of the Institute of Agricultural Research for Development (IRAD).
#PaulBiya
#Cameroon",24 juillet,8 ,
President Paul Biya,15 ,129.0,"🇨🇲🇪🇬
I would like to address my warmest congratulations to His Excellency Abdel Fattah el-Sisi and the people of the Arab Republic of Egypt on the happy occasion of their National Day anniversary.
#PaulBiya
#Cameroon",23 juillet,20 ,
President Paul Biya,25 ,117.0,"Today, I signed a decree appointing 17 Secretaries General in some Ministries.
#PaulBiya
#Cameroon",20 juillet,10 ,
President Paul Biya,,45.0,"Mr Fissou Kouma is the new General Manager of the Yagoua-based Company for the Expansion and Modernisation of Rice Production (SEMRY).
#PaulBiya
#Cameroon",20 juillet,10 ,
President Paul Biya,6 ,58.0,"Mr Ngoumbe Zacharie has been appointed to serve as Secretary General of the Economic and Social Council.
#PaulBiya
#Cameroon",20 juillet,8 ,
